PERSON_ID,DISPLAY_FIRST_LAST,name,url,bbref_id
78017,Alexander Rosenberg,Petey Rosenberg,https://www.basketball-reference.com/players/r/rosenpe01.html,rosenpe01
1631257,Jermaine Samuels Jr.,Jermaine Samuels,https://www.basketball-reference.com/players/s/samueje01.html,samueje01
1642259,Alexandre Sarr,Alex Sarr,https://www.basketball-reference.com/players/s/sarral01.html,sarral01
78063,Frank Saul,Pep Saul,https://www.basketball-reference.com/players/s/saulpe01.html,saulpe01
78068,Dewayne Scales,DeWayne Scales,https://www.basketball-reference.com/players/s/scalede01.html,scalede01
7,Dan Schayes,Danny Schayes,https://www.basketball-reference.com/players/s/schayda01.html,schayda01
78094,Freddie Scolari,Fred Scolari,https://www.basketball-reference.com/players/s/scolafr01.html,scolafr01
78106,Ken Sears,Kenny Sears,https://www.basketball-reference.com/players/s/searske01.html,searske01
1630545,Terrence Shannon Jr.,Terrence Shannon Jr. ,https://www.basketball-reference.com/players/s/shannte01.html,shannte01
78125,Charlie Share,Chuck Share,https://www.basketball-reference.com/players/s/sharech01.html,sharech01
78136,Edmund Sherod,Ed Sherod,https://www.basketball-reference.com/players/s/sheroed01.html,sheroed01
78653,Charlie Shipp,Charley Shipp,https://www.basketball-reference.com/players/s/shippch01.html,shippch01
78162,Mckinley Singleton,McKinley Singleton,https://www.basketball-reference.com/players/s/singlmc01.html,singlmc01
78168,Talvin Skinner,Tal Skinner,https://www.basketball-reference.com/players/s/skinnta01.html,skinnta01
78214,George Sobek,Chips Sobek,https://www.basketball-reference.com/players/s/sobekch01.html,sobekch01
78239,Isaac Stallworth,Bud Stallworth,https://www.basketball-reference.com/players/s/stallbu01.html,stallbu01
203474,DJ Stephens,D.J. Stephens,https://www.basketball-reference.com/players/s/stephdj01.html,stephdj01
201199,DJ Strawberry,D.J. Strawberry,https://www.basketball-reference.com/players/s/strawdj01.html,strawdj01
2552,Michael Sweetney,Mike Sweetney,https://www.basketball-reference.com/players/s/sweetmi01.html,sweetmi01
78287,Wallace Sydnor,Buck Sydnor,https://www.basketball-reference.com/players/s/sydnobu01.html,sydnobu01
78341,Howard Tidrick,Hal Tidrick,https://www.basketball-reference.com/players/t/tidriha01.html,tidriha01
1630214,Xavier Tillman,Xavier Tillman Sr.,https://www.basketball-reference.com/players/t/tillmxa01.html,tillmxa01
78346,Marko Todorovich,Mike Todorovich,https://www.basketball-reference.com/players/t/todormi01.html,todormi01
78363,William Towery,Blackie Towery,https://www.basketball-reference.com/players/t/towerbl01.html,towerbl01
78386,Mel Turpin,Melvin Turpin,https://www.basketball-reference.com/players/t/turpime01.html,turpime01
78396,Ron Valentine,Ronnie Valentine,https://www.basketball-reference.com/players/v/valenro01.html,valenro01
78403,Log Vander Velden,Logan Vander Velden,https://www.basketball-reference.com/players/v/vandelo01.html,vandelo01
78414,Peter Verhoeven,Pete Verhoeven,https://www.basketball-reference.com/players/v/verhope01.html,verhope01
1630640,MJ Walker,M.J. Walker,https://www.basketball-reference.com/players/w/walkemj01.html,walkemj01
78443,Michael Wallace,Red Wallace,https://www.basketball-reference.com/players/w/wallare01.html,wallare01
78448,Rabbit Walthour,Isaac Walthour,https://www.basketball-reference.com/players/w/walthis01.html,walthis01
1628476,Derrick Walton Jr.,Derrick Walton,https://www.basketball-reference.com/players/w/waltode01.html,waltode01
1641817,Anton Watson,Bobby Watson,https://www.basketball-reference.com/players/w/watsobo01.html,watsobo01
221,Clar. Weatherspoon,Clarence Weatherspoon,https://www.basketball-reference.com/players/w/weathcl01.html,weathcl01
78479,Forest Weber,Jake Weber,https://www.basketball-reference.com/players/w/weberja01.html,weberja01
78506,Lucian Whitaker,Skippy Whitaker,https://www.basketball-reference.com/players/w/whitask01.html,whitask01
78639,Robert Zawoluk,Zeke Zawoluk,https://www.basketball-reference.com/players/z/zawolze01.html,zawolze01
78642,Hank Zeller,Harry Zeller,https://www.basketball-reference.com/players/z/zelleha01.html,zelleha01
76036,Daniel Anderson,Dan Anderson,https://www.basketball-reference.com/players/a/anderda02.html,anderda02
76043,Mitchell Anderson,J.J. Anderson,https://www.basketball-reference.com/players/a/anderjj01.html,anderjj01
1134,Ike Austin,Isaac Austin,https://www.basketball-reference.com/players/a/austiis01.html,austiis01
76270,Darrell Brown,Darrel Brown,https://www.basketball-reference.com/players/b/brownda01.html,brownda01
1631219,John Butler Jr.,John Butler,https://www.basketball-reference.com/players/b/butlejo01.html,butlejo01
76522,Edward Davis,Dwight Davis,https://www.basketball-reference.com/players/d/davisdw01.html,davisdw01
76524,James Davis,Red Davis,https://www.basketball-reference.com/players/d/davisre01.html,davisre01
76530,Michael Davis,Mike Davis,https://www.basketball-reference.com/players/d/davismi03.html,davismi03
1629053,Vincent Edwards,Vince Edwards,https://www.basketball-reference.com/players/e/edwarvi01.html,edwarvi01
1628982,Melvin Frazier Jr.,Melvin Frazier,https://www.basketball-reference.com/players/f/frazime01.html,frazime01
1631260,AJ Green,A.J. Green,https://www.basketball-reference.com/players/g/greenaj01.html,greenaj01
76879,Tommy Green,Tommie Green,https://www.basketball-reference.com/players/g/greento01.html,greento01
76928,Roylee Hamilton,Roy Hamilton,https://www.basketball-reference.com/players/h/hamilro01.html,hamilro01
1626154,RJ Hunter,R.J. Hunter,https://www.basketball-reference.com/players/h/hunterj01.html,hunterj01
1626205,Vincent Hunter,Vince Hunter,https://www.basketball-reference.com/players/h/huntevi01.html,huntevi01
77103,Lucious Jackson,Luke Jackson,https://www.basketball-reference.com/players/j/jackslu01.html,jackslu01
200817,Pooh Jeter,Eugene Jeter,https://www.basketball-reference.com/players/j/jetereu01.html,jetereu01
1629168,BJ Johnson,B.J. Johnson,https://www.basketball-reference.com/players/j/johnsbj01.html,johnsbj01
77133,Charlie Johnson,Charles Johnson,https://www.basketball-reference.com/players/j/johnsch01.html,johnsch01
77159,Lynbert Johnson,Cheese Johnson,https://www.basketball-reference.com/players/j/johnsch02.html,johnsch02
203103,Perry Jones III,Perry Jones,https://www.basketball-reference.com/players/j/jonespe01.html,jonespe01
77237,Gerard Kelly,Jerry Kelly,https://www.basketball-reference.com/players/k/kellyje01.html,kellyje01
77245,William Kennedy,Pickles Kennedy,https://www.basketball-reference.com/players/k/kennepi01.html,kennepi01
